cohort,period_number,active_customers,cohort_size,retention_rate
2024Q1,0,1575,1575,1.0
2024Q1,1,824,1575,0.5231746031746032
2024Q1,2,880,1575,0.5587301587301587
2024Q1,3,868,1575,0.5511111111111111
2024Q1,4,818,1575,0.5193650793650794
2024Q1,5,442,1575,0.2806349206349206
2024Q2,0,1864,1864,1.0
2024Q2,1,1261,1864,0.6765021459227468
2024Q2,2,1303,1864,0.6990343347639485
2024Q2,3,1254,1864,0.6727467811158798
2024Q2,4,887,1864,0.47585836909871243
2024Q3,0,1550,1550,1.0
2024Q3,1,1074,1550,0.6929032258064516
2024Q3,2,1049,1550,0.6767741935483871
2024Q3,3,765,1550,0.4935483870967742
2024Q4,0,1248,1248,1.0
2024Q4,1,782,1248,0.6266025641025641
2024Q4,2,546,1248,0.4375
2025Q1,0,1169,1169,1.0
2025Q1,1,483,1169,0.41317365269461076
2025Q2,0,594,594,1.0
