customer_id,signup_date,acquisition_channel,region,email_opt_in,acquisition_cost,last_order_date,frequency,monetary,gross_margin,avg_order_value,return_rate,future_orders,future_revenue,recency_days,tenure_days,margin_rate,churned_6m,r_score,f_score,m_score,rfm_segment,churn_probability,sample,annual_margin_run_rate,projected_12m_margin,margin_at_risk,clv_to_cac,recommended_action
C000001,2023-04-25,affiliate,west,1,40.04,2024-01-16,1,30.61,16.44,30.61,0.0,0.0,0.0,531,797,0.537079385821627,1,1,1,1,hibernating,0.8418990947548989,train,10.96,1.7327859214863084,9.227214078513692,0.04327637166549222,low-cost reactivation test
C000002,2023-07-23,paid_social,south,0,31.05,2025-05-20,10,769.2,321.48,76.92,0.1,6.0,316.94,41,708,0.41794071762870516,0,4,4,5,champions,0.19845749523740625,test,214.32000000000002,171.7865896207191,42.53341037928091,5.53257937586857,loyalty / referral nurture
C000003,2024-12-28,organic,north,1,11.91,2025-05-28,5,315.29,136.0,63.05800000000001,0.0,4.0,129.36,33,184,0.43134891687018295,0,4,3,4,potential loyalist,0.3040684819046632,test,269.96739130434787,187.87881646667265,82.08857483767522,15.774879636160591,priority retention test
C000004,2023-12-16,paid_search,south,0,37.43,2025-03-26,3,138.45,64.89,46.15,0.0,0.0,0.0,96,562,0.46868905742145184,1,2,2,3,hibernating,0.5053083515102322,test,43.260000000000005,21.400360713667357,21.859639286332648,0.5717435403063681,business-as-usual measurement
C000005,2024-03-24,paid_search,south,0,44.41,2024-08-28,2,47.87,21.54,23.935,0.0,0.0,0.0,306,463,0.44996866513473993,1,1,1,1,hibernating,0.6998460389444463,test,16.992408207343413,5.100338631307026,11.892069576036388,0.11484662533904585,business-as-usual measurement
C000006,2024-12-23,paid_search,south,0,37.69,2025-04-16,2,135.85,63.78,67.925,0.0,1.0,43.3,75,189,0.46948840633051164,0,3,1,2,potential loyalist,0.42011237521977995,train,123.25738095238096,71.47542987710693,51.78195107527403,1.8964030214143524,business-as-usual measurement
C000007,2023-08-23,affiliate,east,1,14.17,2024-10-13,4,129.47,63.510000000000005,32.3675,0.25,0.0,0.0,260,677,0.4905383486521975,1,1,3,2,at risk,0.6212069063472209,train,42.34,16.03809958525867,26.301900414741333,1.1318348331163495,low-cost reactivation test
C000008,2023-01-02,organic,west,0,4.15,2025-01-13,2,30.869999999999997,11.83,15.434999999999999,0.0,1.0,55.23,168,910,0.3832199546485261,0,2,1,1,hibernating,0.7034490362114882,test,7.886666666666667,2.3387986010787296,5.547868065587937,0.5635659279707782,business-as-usual measurement
C000009,2025-01-02,paid_search,west,1,46.56,2025-06-08,1,29.52,12.53,29.52,0.0,1.0,83.26,22,179,0.42445799457994576,0,4,1,1,new/promising,0.5105179553737943,train,25.42545833333333,12.4453053305584,12.980153002774932,0.26729607668725086,business-as-usual measurement
C000010,2023-11-29,affiliate,east,1,21.62,2025-06-04,19,1427.51,641.83,75.1321052631579,0.05263157894736842,6.0,449.59,26,579,0.44961506399254647,0,4,5,5,champions,0.052707966393817515,train,427.88666666666666,405.3336306196374,22.553036047029263,18.748086522647426,loyalty / referral nurture
C000011,2024-01-24,affiliate,west,1,29.2,2025-05-11,14,676.15,281.63,48.29642857142857,0.21428571428571427,6.0,457.06,50,523,0.4165200029579235,0,3,5,5,loyal,0.15436281896995088,train,196.6832839388145,166.32269778575184,30.36058615306267,5.695982800881913,loyalty / referral nurture
C000012,2024-04-06,paid_social,south,1,37.9,2024-07-11,1,75.16,31.49,75.16,0.0,2.0,59.62,354,450,0.41897285790314,0,1,1,2,hibernating,0.6565274667894695,test,25.559383333333333,8.778946140799013,16.78043719253432,0.23163446281791591,low-cost reactivation test
C000013,2023-07-23,organic,north,1,16.34,2025-02-02,3,91.37,40.43,30.456666666666667,0.0,0.0,0.0,148,708,0.4424865929736237,1,2,2,2,hibernating,0.5983977161497914,train,26.953333333333333,10.824520224042622,16.12881310929071,0.6624553380687039,low-cost reactivation test
C000014,2025-02-13,paid_search,west,1,40.62,2025-02-18,1,0.0,0.0,0.0,1.0,1.0,29.14,132,137,0.0,0,2,1,1,hibernating,0.6624412218638629,test,0.0,0.0,0.0,0.0,low-cost reactivation test
