customer_id,signup_date,acquisition_channel,region,email_opt_in,acquisition_cost
C000001,2023-04-25,affiliate,west,1,40.04
C000002,2023-07-23,paid_social,south,0,31.05
C000003,2024-12-28,organic,north,1,11.91
C000004,2023-12-16,paid_search,south,0,37.43
C000005,2024-03-24,paid_search,south,0,44.41
C000006,2024-12-23,paid_search,south,0,37.69
C000007,2023-08-23,affiliate,east,1,14.17
C000008,2023-01-02,organic,west,0,4.15
C000009,2025-01-02,paid_search,west,1,46.56
C000010,2023-11-29,affiliate,east,1,21.62
C000011,2024-01-24,affiliate,west,1,29.2
C000012,2024-04-06,paid_social,south,1,37.9
C000013,2023-07-23,organic,north,1,16.34
C000014,2025-02-13,paid_search,west,1,40.62
C000015,2023-11-18,referral,north,1,16.1
C000016,2024-04-22,referral,west,1,16.8
C000017,2023-03-19,paid_social,west,1,31.04
C000018,2023-01-06,organic,east,1,14.34
C000019,2025-01-31,referral,east,1,22.95
C000020,2023-07-23,organic,west,1,5.7
C000021,2023-02-02,paid_search,north,1,46.36
C000022,2023-03-09,paid_search,west,1,45.11
C000023,2024-11-24,paid_search,west,1,47.09
C000024,2024-05-29,organic,west,0,17.18
C000025,2023-08-05,organic,south,1,10.67
C000026,2024-09-21,affiliate,west,1,38.18
C000027,2024-05-07,organic,west,0,12.56
C000028,2024-04-23,paid_search,east,1,34.4
C000029,2023-01-24,organic,east,1,11.28
C000030,2023-06-04,paid_search,east,1,42.76
C000031,2023-10-09,organic,south,1,7.33
C000032,2024-03-06,organic,south,0,7.75
C000033,2024-01-30,affiliate,south,0,8.62
C000034,2025-01-26,organic,west,0,11.38
C000035,2024-03-02,affiliate,south,1,24.82
C000036,2025-01-07,organic,east,1,5.67
C000037,2024-04-01,affiliate,north,1,27.27
C000038,2023-03-19,paid_search,south,1,40.62
C000039,2024-06-04,paid_social,south,0,31.36
C000040,2024-09-08,referral,south,1,7.6
C000041,2024-08-19,organic,north,0,3.44
C000042,2024-01-20,paid_social,east,1,27.26
C000043,2024-02-29,organic,south,1,16.73
C000044,2024-08-03,paid_search,east,1,50.54
C000045,2023-08-11,organic,north,1,7.82
C000046,2024-11-18,affiliate,north,1,27.46
C000047,2023-08-11,organic,west,1,15.84
C000048,2023-10-04,paid_search,west,1,42.65
C000049,2024-06-27,organic,south,1,10.0
C000050,2024-07-31,paid_search,south,0,38.16
C000051,2025-02-18,referral,south,1,4.14
C000052,2023-06-28,affiliate,east,1,24.28
C000053,2024-06-25,paid_search,west,1,41.94
C000054,2024-04-05,referral,south,1,17.95
C000055,2023-07-02,paid_search,north,1,41.28
C000056,2024-04-29,organic,south,1,4.5
C000057,2023-06-06,organic,south,1,2.93
C000058,2023-10-07,affiliate,east,1,27.54
C000059,2024-04-09,organic,north,1,6.74
C000060,2025-01-02,paid_social,south,0,32.69
C000061,2023-06-25,referral,west,1,17.83
C000062,2024-12-03,organic,north,1,11.98
C000063,2023-10-16,affiliate,north,0,26.41
C000064,2024-10-07,organic,west,1,2.69
C000065,2023-02-28,organic,east,1,5.24
C000066,2023-11-13,paid_social,south,1,37.2
C000067,2024-02-07,paid_search,south,0,36.38
C000068,2023-02-09,referral,east,0,9.69
C000069,2023-06-09,referral,east,0,15.95
C000070,2023-06-08,affiliate,east,1,31.84
C000071,2024-07-26,affiliate,east,1,23.79
C000072,2023-12-30,paid_social,south,0,46.82
C000073,2024-07-16,affiliate,south,0,28.74
C000074,2023-01-20,paid_search,south,1,49.09
C000075,2023-04-13,referral,north,1,8.23
C000076,2023-04-20,affiliate,west,1,25.53
C000077,2023-08-14,referral,east,0,10.56
C000078,2024-08-28,organic,north,1,13.41
C000079,2024-08-18,organic,east,1,8.75
C000080,2023-10-22,paid_search,north,1,39.82
C000081,2023-09-10,referral,south,0,20.09
C000082,2023-11-14,paid_social,west,0,37.67
C000083,2024-05-24,paid_social,west,1,37.48
C000084,2023-06-05,paid_search,south,0,44.41
C000085,2023-10-03,paid_search,west,1,40.56
C000086,2024-11-09,paid_search,east,1,44.23
C000087,2023-08-07,paid_social,east,1,38.63
C000088,2024-10-06,referral,south,1,12.39
C000089,2023-07-05,referral,south,1,11.85
C000090,2023-01-06,referral,south,1,14.57
C000091,2024-11-17,affiliate,north,1,25.21
C000092,2023-01-24,organic,north,1,3.51
C000093,2024-02-23,paid_search,east,1,37.65
C000094,2023-01-01,paid_search,north,0,42.19
C000095,2023-11-12,organic,east,1,5.15
C000096,2024-09-12,referral,west,1,7.59
C000097,2024-04-15,referral,east,1,18.58
C000098,2024-07-08,paid_search,east,1,35.01
C000099,2023-08-06,organic,west,1,2.11
C000100,2023-07-18,paid_search,south,0,41.71
C000101,2023-11-10,organic,east,1,6.11
C000102,2023-11-30,paid_search,south,1,42.09
C000103,2023-06-09,paid_search,east,1,42.64
C000104,2024-04-10,referral,north,1,13.38
C000105,2024-02-13,paid_search,north,1,29.83
C000106,2024-12-15,organic,north,0,2.0
C000107,2023-09-05,paid_search,north,1,40.9
C000108,2024-05-10,paid_search,east,1,37.7
C000109,2024-09-19,paid_search,east,1,38.5
C000110,2023-10-25,organic,west,0,6.01
C000111,2024-05-13,referral,north,1,8.61
C000112,2023-05-13,organic,east,1,3.79
C000113,2025-02-09,affiliate,north,1,26.27
C000114,2024-01-15,paid_social,west,1,30.85
C000115,2023-04-02,referral,east,1,13.25
C000116,2023-12-12,paid_social,west,1,29.93
C000117,2024-02-18,organic,north,1,14.95
C000118,2024-01-24,organic,west,0,10.24
C000119,2024-07-12,organic,west,1,14.72
C000120,2024-05-07,paid_social,west,1,31.91
C000121,2024-07-26,organic,west,1,12.19
C000122,2024-08-18,organic,east,1,10.58
C000123,2023-06-28,paid_search,north,1,35.98
C000124,2024-03-10,organic,north,1,6.92
C000125,2023-05-28,referral,west,1,8.09
C000126,2024-05-26,paid_social,west,1,34.68
C000127,2024-03-01,paid_social,west,1,31.56
C000128,2024-08-10,affiliate,south,1,28.75
C000129,2024-08-10,referral,west,1,17.34
C000130,2023-03-01,organic,north,1,6.86
C000131,2024-11-18,affiliate,south,1,31.76
C000132,2025-02-14,referral,east,0,17.87
C000133,2024-05-29,paid_social,north,1,29.57
C000134,2023-08-25,paid_search,west,0,42.95
C000135,2023-07-04,affiliate,south,0,26.24
C000136,2023-06-26,organic,south,0,13.7
C000137,2025-02-17,referral,south,1,14.1
C000138,2023-03-30,organic,north,1,2.0
C000139,2023-11-10,affiliate,east,1,28.36
C000140,2023-05-16,paid_social,east,1,33.75
C000141,2023-08-22,paid_social,east,0,34.75
C000142,2023-06-16,paid_social,west,1,44.41
C000143,2025-01-05,organic,north,1,16.95
C000144,2023-10-11,organic,north,1,11.41
C000145,2023-10-22,paid_social,east,0,32.81
C000146,2024-10-08,paid_social,east,1,41.05
C000147,2023-03-20,organic,south,1,9.91
C000148,2024-08-22,referral,north,1,15.05
C000149,2023-02-22,referral,north,1,22.64
C000150,2024-04-10,affiliate,south,0,18.4
C000151,2024-11-28,organic,west,0,3.56
C000152,2023-11-11,referral,north,1,25.36
C000153,2023-10-29,paid_search,south,1,30.83
C000154,2023-12-26,affiliate,north,1,15.76
C000155,2024-03-16,affiliate,north,0,23.87
C000156,2024-11-21,paid_social,south,1,44.42
C000157,2024-11-09,paid_social,west,1,42.46
C000158,2023-02-10,paid_social,east,1,30.46
C000159,2024-11-30,paid_social,west,1,38.01
C000160,2023-11-23,paid_social,south,0,44.13
C000161,2023-02-13,referral,north,1,18.78
C000162,2024-05-03,organic,west,0,6.38
C000163,2024-01-20,referral,east,0,18.36
C000164,2024-05-31,referral,south,1,8.12
C000165,2023-11-01,affiliate,north,1,21.62
C000166,2023-10-23,referral,west,0,17.4
C000167,2024-10-10,paid_search,north,1,39.32
C000168,2023-07-13,paid_social,east,1,32.82
C000169,2023-08-28,paid_social,west,0,25.53
C000170,2023-10-30,paid_search,east,0,42.8
C000171,2023-10-28,organic,east,0,3.0
C000172,2024-07-11,referral,west,1,16.4
C000173,2023-02-03,organic,south,1,5.85
C000174,2023-04-09,referral,north,1,21.04
C000175,2024-02-04,referral,east,0,7.65
C000176,2025-02-08,paid_search,north,1,41.64
C000177,2024-09-25,organic,south,0,8.06
C000178,2023-09-09,paid_social,north,1,38.55
C000179,2024-05-10,paid_social,west,1,38.67
C000180,2023-06-23,paid_search,north,0,47.54
C000181,2025-01-01,affiliate,south,1,38.96
C000182,2023-07-21,referral,north,1,6.69
C000183,2023-10-25,affiliate,north,0,26.47
C000184,2024-05-30,organic,south,1,11.97
C000185,2023-06-15,referral,south,1,21.49
C000186,2023-09-12,paid_search,east,1,39.08
C000187,2025-01-02,referral,east,0,18.37
C000188,2024-02-24,paid_search,north,1,44.46
C000189,2024-03-13,paid_social,east,1,41.07
C000190,2024-09-21,paid_search,north,0,42.68
C000191,2023-04-09,paid_social,west,1,33.21
C000192,2024-07-06,affiliate,west,1,25.82
C000193,2024-10-08,affiliate,north,1,33.82
C000194,2023-01-11,paid_social,south,0,36.44
C000195,2024-12-18,paid_social,east,0,34.01
C000196,2023-06-28,paid_search,east,1,41.73
C000197,2024-11-23,paid_social,east,0,27.49
C000198,2024-05-26,affiliate,south,1,31.24
C000199,2024-12-11,organic,east,1,5.86
C000200,2023-04-27,organic,north,1,14.97
C000201,2024-05-13,organic,north,1,17.37
C000202,2024-10-06,paid_search,north,1,45.74
C000203,2024-02-03,paid_search,north,1,47.29
C000204,2024-05-22,paid_search,west,1,42.84
C000205,2024-06-11,paid_search,north,1,38.47
C000206,2024-10-03,referral,north,1,14.86
C000207,2025-01-17,paid_search,west,0,46.8
C000208,2024-10-12,paid_social,west,0,34.45
C000209,2024-12-06,paid_search,south,1,38.53
C000210,2024-12-14,organic,east,1,8.85
C000211,2024-12-21,paid_search,east,1,48.85
C000212,2023-07-02,affiliate,east,1,22.9
C000213,2023-07-05,organic,west,1,7.95
C000214,2024-01-24,referral,north,1,14.67
C000215,2024-02-02,organic,south,1,5.34
C000216,2023-02-09,affiliate,east,1,34.82
C000217,2023-11-26,affiliate,east,1,23.44
C000218,2024-09-25,referral,north,0,16.04
C000219,2023-04-12,paid_social,south,1,29.15
C000220,2025-01-31,paid_social,north,0,40.14
C000221,2024-09-28,organic,west,1,7.52
C000222,2025-02-07,referral,west,1,6.66
C000223,2024-07-29,affiliate,west,1,23.04
C000224,2025-02-27,organic,north,1,2.62
C000225,2024-07-24,paid_social,south,0,29.79
C000226,2024-05-10,paid_social,south,1,37.2
C000227,2024-04-17,referral,east,1,24.05
C000228,2023-05-27,organic,west,1,11.28
C000229,2024-02-06,paid_search,west,1,47.05
C000230,2023-10-09,referral,west,1,12.93
C000231,2023-03-23,referral,west,0,13.05
C000232,2025-01-26,organic,north,1,9.67
C000233,2023-10-21,affiliate,south,1,26.81
C000234,2023-04-06,organic,south,1,9.18
C000235,2023-06-04,paid_search,south,1,50.12
C000236,2023-10-04,affiliate,north,1,28.13
C000237,2023-05-31,paid_social,south,1,31.16
C000238,2024-11-01,organic,east,1,10.09
C000239,2024-05-13,paid_social,north,0,34.83
C000240,2023-04-05,paid_search,west,1,52.05
C000241,2023-06-17,organic,west,1,6.96
C000242,2024-09-18,organic,south,0,12.38
C000243,2023-02-24,paid_search,north,1,41.52
C000244,2024-02-02,paid_search,west,0,44.42
