order_id,customer_id,order_date,gross_revenue,returned,net_revenue,gross_margin
O00001181,C000160,2024-01-01,44.67,0,44.67,16.42
O00001660,C000228,2024-01-01,21.16,0,21.16,9.74
O00006382,C000853,2024-01-01,84.42,0,84.42,36.12
O00010753,C001427,2024-01-01,25.25,0,25.25,9.51
O00014536,C001966,2024-01-01,90.7,0,90.7,34.8
O00015179,C002053,2024-01-01,24.85,0,24.85,11.04
O00016825,C002287,2024-01-01,64.35,0,64.35,34.48
O00022713,C003056,2024-01-01,18.59,0,18.59,6.43
O00022757,C003062,2024-01-01,52.61,0,52.61,17.81
O00023560,C003180,2024-01-01,33.73,0,33.73,13.91
O00026986,C003672,2024-01-01,33.0,0,33.0,14.69
O00030078,C004056,2024-01-01,11.92,0,11.92,4.46
O00030848,C004167,2024-01-01,14.22,0,14.22,5.3
O00032100,C004325,2024-01-01,22.57,0,22.57,8.92
O00036047,C004825,2024-01-01,51.6,0,51.6,22.77
O00039322,C005243,2024-01-01,62.32,0,62.32,25.79
O00042224,C005601,2024-01-01,13.51,0,13.51,5.99
O00042349,C005617,2024-01-01,29.41,0,29.41,14.16
O00043000,C005688,2024-01-01,36.77,0,36.77,20.59
O00043337,C005730,2024-01-01,51.59,0,51.59,22.16
O00047634,C006258,2024-01-01,18.53,0,18.53,7.82
O00050286,C006608,2024-01-01,41.31,0,41.31,19.63
O00054604,C007203,2024-01-01,8.0,0,8.0,3.23
O00059588,C007878,2024-01-01,74.43,0,74.43,29.77
O00003435,C000473,2024-01-02,79.23,0,79.23,38.25
O00003436,C000474,2024-01-02,24.21,0,24.21,10.66
O00008458,C001120,2024-01-02,40.01,0,40.01,16.46
O00015870,C002150,2024-01-02,26.21,0,26.21,11.65
O00023567,C003184,2024-01-02,37.62,0,37.62,14.71
O00023945,C003247,2024-01-02,9.3,0,9.3,3.6
O00025875,C003526,2024-01-02,78.69,0,78.69,34.11
O00026431,C003602,2024-01-02,59.22,0,59.22,23.59
O00026937,C003666,2024-01-02,37.22,0,37.22,18.25
O00031657,C004266,2024-01-02,24.79,0,24.79,9.7
O00034495,C004637,2024-01-02,81.31,0,81.31,40.16
O00044566,C005879,2024-01-02,10.91,0,10.91,4.31
O00046397,C006096,2024-01-02,36.77,0,36.77,13.26
O00053759,C007083,2024-01-02,32.45,0,32.45,15.58
O00056622,C007483,2024-01-02,72.9,0,72.9,31.06
O00000098,C000015,2024-01-03,57.85,0,57.85,31.25
O00000497,C000074,2024-01-03,27.64,1,0.0,0.0
O00001185,C000161,2024-01-03,20.23,0,20.23,7.85
O00001457,C000196,2024-01-03,48.29,0,48.29,23.22
O00003746,C000530,2024-01-03,106.49,0,106.49,50.86
O00008460,C001120,2024-01-03,44.41,0,44.41,20.81
O00009752,C001293,2024-01-03,74.23,0,74.23,31.53
O00012746,C001708,2024-01-03,36.16,0,36.16,18.78
O00016826,C002287,2024-01-03,67.14,0,67.14,30.48
O00018328,C002484,2024-01-03,9.17,0,9.17,4.49
O00018600,C002520,2024-01-03,47.23,0,47.23,19.24
O00019907,C002684,2024-01-03,35.86,0,35.86,19.13
O00020384,C002737,2024-01-03,31.02,0,31.02,11.4
O00020800,C002792,2024-01-03,33.67,0,33.67,15.72
O00030595,C004126,2024-01-03,10.8,0,10.8,4.62
O00038538,C005132,2024-01-03,79.09,0,79.09,45.52
O00042273,C005608,2024-01-03,56.44,0,56.44,31.24
O00045906,C006037,2024-01-03,44.66,1,0.0,0.0
O00049736,C006534,2024-01-03,36.91,0,36.91,17.8
O00050898,C006694,2024-01-03,14.51,0,14.51,5.34
O00055645,C007341,2024-01-03,34.7,0,34.7,11.53
O00056618,C007482,2024-01-03,34.24,0,34.24,16.32
O00007902,C001045,2024-01-04,22.39,0,22.39,10.03
O00012788,C001717,2024-01-04,75.31,0,75.31,33.09
O00016363,C002219,2024-01-04,16.7,0,16.7,6.71
O00016411,C002227,2024-01-04,83.38,1,0.0,0.0
O00019308,C002615,2024-01-04,44.27,0,44.27,17.69
O00020814,C002796,2024-01-04,62.5,0,62.5,30.72
O00020828,C002798,2024-01-04,35.99,0,35.99,16.28
O00024509,C003338,2024-01-04,20.04,0,20.04,8.13
O00025699,C003503,2024-01-04,108.6,0,108.6,47.26
O00026932,C003665,2024-01-04,58.49,0,58.49,31.33
O00032400,C004370,2024-01-04,23.08,0,23.08,9.61
O00037947,C005065,2024-01-04,45.96,0,45.96,22.13
O00039324,C005244,2024-01-04,35.84,1,0.0,0.0
O00043766,C005782,2024-01-04,30.94,0,30.94,12.41
O00047474,C006237,2024-01-04,91.57,0,91.57,32.2
O00050510,C006643,2024-01-04,46.06,0,46.06,20.71
O00051973,C006831,2024-01-04,67.85,0,67.85,22.29
